38,225,111,98,296,343
7,29,4,24,32,6
12,43,22,32,56,64
46.69,49.15,32.54,55.41,46.46,32.03
58.41,88.84,138.96,62.84,88.39,133.58
0,0,0,0,0,0,333,237,326,288,217,184,556,474
61,532,102,504,611,168,1196,578,815,564,1293,1030,1490,171
88,8,145,94,80,116,8,200,128,497,279,590,396,140
408,6,34,1670,122,123,202,50
1328,331,1335,3556,437,256,583,517
181,338,269,1019,236,173,268,110
29,87,36,18,3,13
10,23,10,10,3,0
16,46,9,9,3,5
1,318,452,317,149,338,70,362,289,39,519,10
19,2208,660,482,64,703,720,766,1665,57,1523,242
0,408,33,379,0,360,0,678,419,0,338,0
64.38,21.40,4,29.13,54.58,0
57.87,15,31.09,45.37,28.57,14
32.93,113,36.20,14.50,36,7
1670,3556,1019
945,5587,1845
7,11,3
0,18,1
150.11
349
151.91
235
136.75
216
130.61
213
130.73
201
149.87
198
141.54
195
137.14
194
137.91
190
129.99
163
